a2a4,a7a5,b2b4,a5b4,c2c4,b4c3,d2d3
h2h4,h7h5,g2g4,h5g4,f2f4,g4f3,e2e3
e2e4,d7d5,e4d5,c7c6,d5c6,b7c6,c2c4,c6c5
h2h3,a7a6,f2f3,d7d6,e1f2,e8d7,f2e3,e7e5
d2d4,d7d5,e1d2,e8d7,d2c3,d7c6
a2a4,h7h5,a4a5,h5h4,a5a6,h4h3,a6b7
h2h4,a7a5,h4h5,a5a4,h5h6,a4a3,h6g7
e2e4,e7e5,e1e2,e8e7,e2d3,e7d6,d3c4,d6c6
e2e4,e7e6,e1e2,e8e7,e4e5,c7c5,e2e3,g7g6
e2e4,d7d5,e4d5,e8d7,c2c4,d7d6,e1e2,e7e6
e2e4,c7c5,e1e2,e7e5,e2d3,e8e7,b2b3,e7d6
e2e4,c7c6,e1e2,e7e5,e2d3,e8e7,d3c4,b7b5
e2e4,d7d6,e1e2,e7e5,e2d3,e8d7,d3c3,d7c6
e2e4,g7g6,e1e2,e7e5,e2d3,e8e7,d3c4,b7b5
e2e4,f7f5,e1e2,e8f7,e2d3,f7e6,d3d4,f5e4
d2d4,e7e6,e1d2,d7d5,d2e3,e8e7,f2f3,c7c6
d2d4,c7c5,e1d2,e7e5,d2e3,e8e7,d4e5,e7e6
d2d4,f7f5,e1d2,e8f7,d2e3,f7e6,c2c3,g7g6
d2d4,g7g6,e1d2,f7f5,d2e3,e8f7,e3f4,f7e6
d2d4,b7b6,e1d2,d7d5,d2c3,e8d7,b2b3,d7d6
d2d4,d7d6,e1d2,e8d7,d4d5,c7c5,d2d3,d7c7
e2e3,e7e5,e1e2,e8e7,e2d3,e7d6,d3e4,g7g6
e2e3,d7d5,e1e2,e8d7,e2d3,d7e6,b2b3,g7g6
d2d3,e7e5,e1d2,e8e7,d2e3,e7d6,g2g3,b7b6
d2d3,d7d5,e1d2,e8d7,d2e3,d7e6,g2g3,f7f6
c2c3,e7e5,e2e3,e8e7,e1e2,e7d6,e2f3,d6d5
c2c3,d7d5,e2e3,e8d7,d2d4,d7e6,e1e2,f7f6
f2f3,e7e5,e1f2,e8e7,f2e3,e7d6,d2d3,g7g6
a2a4,a7a5,d2d3,d7d6,e1d2,e8d7,f2f3,f7f6
h2h4,h7h5,f2f3,e7e6,e1f2,e8e7,f2e3,e7f6
